                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.49015,                0.27699,                 0.9454,                0.98972,                0.99115,                0.99436,                0.91754,                0.45376,                0.19259,                0.89808,               0.002146,               0.002146,               0.002146
                    121,                0.49074,                0.27882,                0.95091,                0.98905,                0.98773,                0.99409,                0.91911,                0.45254,                0.19522,                0.89732,                0.00208,                0.00208,                0.00208
                    122,                0.48635,                0.27676,                0.94813,                0.98383,                0.98852,                 0.9938,                0.91809,                0.45132,                0.19401,                0.89711,               0.002014,               0.002014,               0.002014
                    123,                0.49378,                0.28254,                0.95734,                0.98552,                0.99125,                0.99391,                0.91828,                0.45454,                0.19241,                0.89757,               0.001948,               0.001948,               0.001948
                    124,                0.49562,                0.28141,                0.95011,                0.98565,                0.99036,                0.99401,                0.91926,                0.45489,                0.19064,                0.89753,               0.001882,               0.001882,               0.001882
                    125,                0.48501,                0.27679,                0.94465,                0.98749,                0.99032,                0.99421,                0.91815,                0.45539,                0.19165,                0.89849,               0.001816,               0.001816,               0.001816
                    126,                0.48876,                0.27447,                0.94451,                0.98814,                0.98911,                0.99429,                0.91923,                0.45409,                0.18965,                0.89806,                0.00175,                0.00175,                0.00175
                    127,                0.48022,                0.27147,                0.94197,                0.98779,                0.99049,                0.99407,                0.91786,                0.45116,                0.18912,                0.89894,               0.001684,               0.001684,               0.001684
                    128,                0.47715,                0.26804,                0.94124,                0.98751,                 0.9913,                0.99447,                0.91789,                0.45044,                0.18822,                0.89683,               0.001618,               0.001618,               0.001618
                    129,                0.47579,                0.27149,                0.94236,                0.98414,                0.98958,                0.99432,                0.91868,                 0.4509,                0.18907,                0.89731,               0.001552,               0.001552,               0.001552
                    130,                0.47824,                0.27112,                0.94168,                 0.9811,                0.99145,                 0.9944,                0.91819,                0.45239,                 0.1894,                0.89841,               0.001486,               0.001486,               0.001486
                    131,                0.46971,                0.26683,                0.93916,                0.98644,                0.98891,                0.99451,                0.91927,                0.45162,                0.18958,                 0.8997,                0.00142,                0.00142,                0.00142
                    132,                 0.4757,                0.26501,                 0.9414,                0.99227,                0.98406,                0.99442,                0.91828,                 0.4496,                0.18799,                0.89906,               0.001354,               0.001354,               0.001354
                    133,                0.46575,                0.26213,                 0.9361,                0.99188,                0.98445,                0.99442,                0.91905,                0.45182,                0.19031,                0.90121,               0.001288,               0.001288,               0.001288
                    134,                0.47026,                0.26496,                0.93768,                0.99155,                0.98481,                0.99448,                0.91788,                 0.4522,                 0.1883,                0.90164,               0.001222,               0.001222,               0.001222
                    135,                 0.4637,                0.26186,                0.93888,                0.98553,                0.99166,                0.99455,                0.91825,                0.45377,                0.18613,                    0.9,               0.001156,               0.001156,               0.001156
                    136,                0.46481,                0.26177,                0.93609,                 0.9879,                0.99133,                0.99457,                0.91868,                0.45242,                0.18531,                0.89925,                0.00109,                0.00109,                0.00109
                    137,                0.46018,                0.26094,                 0.9359,                0.98584,                0.99501,                0.99462,                0.91838,                0.45139,                0.18321,                0.89885,               0.001024,               0.001024,               0.001024
                    138,                0.46248,                0.26086,                0.93741,                  0.986,                0.99479,                0.99459,                0.91888,                0.45019,                0.18302,                0.89907,               0.000958,               0.000958,               0.000958
                    139,                0.46119,                0.25392,                 0.9348,                0.98688,                0.99292,                0.99463,                0.91958,                0.45059,                0.18458,                0.89893,               0.000892,               0.000892,               0.000892
                    140,                0.46175,                0.25651,                0.93631,                0.98668,                0.99208,                0.99467,                0.91864,                0.44939,                0.18673,                0.89856,               0.000826,               0.000826,               0.000826
                    141,                 0.3729,                0.18014,                0.88062,                0.98596,                0.99367,                0.99472,                0.91706,                 0.4497,                0.18887,                0.89976,                0.00076,                0.00076,                0.00076
                    142,                  0.367,                0.17542,                0.87306,                0.99222,                0.98789,                0.99472,                0.91713,                0.45045,                0.18509,                0.90016,               0.000694,               0.000694,               0.000694
                    143,                0.37044,                0.17642,                0.87471,                0.99269,                0.98777,                0.99467,                0.91771,                0.45014,                0.18602,                0.90025,               0.000628,               0.000628,               0.000628
                    144,                0.36202,                0.17041,                0.87018,                0.99365,                0.98747,                0.99466,                0.91722,                 0.4498,                0.18608,                0.90051,               0.000562,               0.000562,               0.000562
                    145,                0.35807,                0.16929,                 0.8706,                0.99159,                0.98964,                 0.9946,                0.91794,                0.44971,                0.18703,                0.90164,               0.000496,               0.000496,               0.000496
                    146,                0.35472,                0.16799,                0.86533,                0.99166,                0.98943,                0.99456,                0.91862,                0.44904,                0.18617,                0.90208,                0.00043,                0.00043,                0.00043
                    147,                0.35646,                0.16681,                0.86901,                0.99279,                0.98715,                0.99455,                0.91827,                0.44837,                0.18581,                0.90188,               0.000364,               0.000364,               0.000364
                    148,                0.35272,                 0.1642,                0.86622,                0.99289,                0.98724,                0.99461,                0.91948,                0.44849,                0.18584,                0.90145,               0.000298,               0.000298,               0.000298
                    149,                0.34916,                0.16193,                0.86246,                0.99283,                0.98744,                0.99462,                0.91899,                0.44873,                0.18626,                0.90172,               0.000232,               0.000232,               0.000232
                    150,                0.35006,                0.16395,                0.86404,                0.99309,                0.98763,                0.99463,                 0.9187,                0.44911,                 0.1854,                0.90166,               0.000166,               0.000166,               0.000166
